Kiosk Aarau;Peperoni;7.90;31.60
Kiosk Aarau;Zwiebeln;17.30;31.14
Kiosk Aarau;Tomaten;8.30;24.90
Kiosk Aarau;Kopfsalat;14.90;22.35
Kiosk Aarau;Randen;11.70;21.06
Kiosk Aarau;Kartoffeln;11.70;16.38
Kiosk Aarau;Karotten;7.70;13.86
Kiosk Adligenswil;Peperoni;19.10;76.40
Kiosk Adligenswil;Broccoli;14.40;43.20
Kiosk Adligenswil;Kartoffeln;21.70;30.38
Kiosk Adligenswil;Zucchetti;13.10;22.27
Kiosk Adligenswil;Zwiebeln;11.90;21.42
Kiosk Adligenswil;Gurken;8.10;20.25
Kiosk Adligenswil;Karotten;6.40;11.52
Kiosk Adliswil;Peperoni;19.80;79.20
Kiosk Adliswil;Gurken;11.60;29.00
Kiosk Adliswil;Zwiebeln;14.70;26.46
Kiosk Adliswil;Karotten;11.10;19.98
Kiosk Adliswil;Kartoffeln;8.60;12.04
Kiosk Adliswil;Zucchetti;6.00;10.20
Kiosk Baden;Gurken;12.30;30.75
Kiosk Baden;Kopfsalat;19.30;28.95
Kiosk Baden;Kartoffeln;19.10;26.74
Kiosk Baden;Zwiebeln;13.20;23.76
Kiosk Baden;Tomaten;7.20;21.60
Kiosk Baden;Zucchetti;9.20;15.64
Kiosk Balsthal;Peperoni;13.30;53.20
Kiosk Balsthal;Gurken;19.80;49.50
Kiosk Balsthal;Karotten;19.90;35.82
Kiosk Balsthal;Zwiebeln;13.50;24.30
Kiosk Balsthal;Broccoli;7.60;22.80
Kiosk Balsthal;Zucchetti;10.70;18.19
Kiosk Belp;Peperoni;22.50;90.00
Kiosk Belp;Broccoli;25.40;76.20
Kiosk Belp;Tomaten;19.60;58.80
Kiosk Belp;Zwiebeln;17.60;31.68
Kiosk Belp;Karotten;15.70;28.26
Kiosk Bern;Tomaten;19.90;59.70
Kiosk Bern;Gurken;5.40;13.50
Kiosk Bern;Zucchetti;6.50;11.05
Kiosk Bern;Kopfsalat;7.10;10.65
Kiosk Biel/Bienne;Peperoni;12.40;49.60
